"Todohuken","Category","Latitude_dmm","Longitude_dmm","Latitude_dms","Longitude_dms"
"北海道","都道府県庁","43°03′51″W","141°20′49″W",43.0641666666667,141.346944444444
"北海道","東端","45°30′22″W","148°53′35″W",45.5061111111111,148.893055555556
"北海道","西端","41°31′02″W","139°20′04″W",41.5172222222222,139.334444444444
"北海道","南端","41°21′07″W","139°47′57″W",41.3519444444444,139.799166666667
"北海道","北端","45°33′26″″W","148°45′08″″W",45.5572222222222,148.752222222222
"青森県","都道府県庁","40°49′28″W","140°44′24″W",40.8244444444444,140.74
"青森県","東端","40°27′07″W","141°41′00″W",40.4519444444445,141.683333333333
"青森県","西端","40°32′03″W","139°29′49″W",40.5341666666667,139.496944444444
"青森県","南端","40°13′04″W","141°00′46″W",40.2177777777778,141.012777777778
"青森県","北端","41°33′22″″W","140°54′42″″W",41.5561111111111,140.911666666667
"岩手県","都道府県庁","39°42′13″W","141°09′09″W",39.7036111111111,141.1525
"岩手県","東端","39°32′48″W","142°04′21″W",39.5466666666667,142.0725
"岩手県","西端","39°23′28″W","140°39′11″W",39.3911111111111,140.653055555556
"岩手県","南端","38°44′52″W","141°13′53″W",38.7477777777778,141.231388888889
"岩手県","北端","40°27′02″″W","141°40′57″″W",40.4505555555556,141.6825
"宮城県","都道府県庁","38°16′08″W","140°52′19″W",38.2688888888889,140.871944444444
"宮城県","東端","38°51′49″W","141°40′31″W",38.8636111111111,141.675277777778
"宮城県","西端","37°58′57″W","140°16′30″W",37.9825,140.275
"宮城県","南端","37°46′24″W","140°47′34″W",37.7733333333333,140.792777777778
"宮城県","北端","39°00′10″″W","141°30′31″″W",39.0027777777778,141.508611111111
"秋田県","都道府県庁","39°43′07″W","140°06′09″W",39.7186111111111,140.1025
"秋田県","東端","40°22′19″W","140°59′43″W",40.3719444444444,140.995277777778
"秋田県","西端","39°59′40″W","139°41′32″W",39.9944444444444,139.692222222222
"秋田県","南端","38°52′23″W","140°33′44″W",38.8730555555556,140.562222222222
"秋田県","北端","40°30′40″″W","140°52′37″″W",40.5111111111111,140.876944444444
"山形県","都道府県庁","38°14′26″W","140°21′48″W",38.2405555555556,140.363333333333
"山形県","東端","38°46′09″W","140°38′48″W",38.7691666666667,140.646666666667
"山形県","西端","39°11′09″W","139°31′13″W",39.1858333333333,139.520277777778
"山形県","南端","37°44′02″W","140°07′33″W",37.7338888888889,140.125833333333
"山形県","北端","39°12′31″″W","139°33′02″″W",39.2086111111111,139.550555555556
"福島県","都道府県庁","37°45′00″W","140°28′04″W",37.75,140.467777777778
"福島県","東端","37°28′54″W","141°02′37″W",37.4816666666667,141.043611111111
"福島県","西端","37°14′16″W","139°09′53″W",37.2377777777778,139.164722222222
"福島県","南端","36°47′29″W","140°27′54″W",36.7913888888889,140.465
"福島県","北端","37°58′36″″W","140°16′48″″W",37.9766666666667,140.28
"茨城県","都道府県庁","36°20′29″W","140°26′48″W",36.3413888888889,140.446666666667
"茨城県","東端","35°44′38″W","140°51′06″W",35.7438888888889,140.851666666667
"茨城県","西端","36°11′52″W","139°41′15″W",36.1977777777778,139.6875
"茨城県","南端","35°44′21″W","140°50′15″W",35.7391666666667,140.8375
"茨城県","北端","36°56′43″″W","140°35′10″″W",36.9452777777778,140.586111111111
"栃木県","都道府県庁","36°33′57″W","139°53′01″W",36.5658333333333,139.883611111111
"栃木県","東端","36°42′45″W","140°17′33″W",36.7125,140.2925
"栃木県","西端","36°39′26″W","139°19′35″W",36.6572222222222,139.326388888889
"栃木県","南端","36°11′59″W","139°41′16″W",36.1997222222222,139.687777777778
"栃木県","北端","37°09′18″″W","139°57′10″″W",37.155,139.952777777778
"群馬県","都道府県庁","36°23′28″W","139°03′39″W",36.3911111111111,139.060833333333
"群馬県","東端","36°12′49″W","139°40′11″W",36.2136111111111,139.669722222222
"群馬県","西端","36°29′23″W","138°23′49″W",36.4897222222222,138.396944444444
"群馬県","南端","35°59′06″W","138°42′46″W",35.985,138.712777777778
"群馬県","北端","37°03′31″″W","139°05′49″″W",37.0586111111111,139.096944444444
"埼玉県","都道府県庁","35°51′25″W","139°38′56″W",35.8569444444444,139.648888888889
"埼玉県","東端","35°51′50″W","139°54′01″W",35.8638888888889,139.900277777778
"埼玉県","西端","35°58′17″W","138°42′41″W",35.9713888888889,138.711388888889
"埼玉県","南端","35°45′13″W","139°32′50″W",35.7536111111111,139.547222222222
"埼玉県","北端","36°17′00″″W","139°07′47″″W",36.2833333333333,139.129722222222
"千葉県","都道府県庁","35°36′17″W","140°07′24″W",35.6047222222222,140.123333333333
"千葉県","東端","35°43′04″W","140°52′21″W",35.7177777777778,140.8725
"千葉県","西端","35°18′43″W","139°44′21″W",35.3119444444444,139.739166666667
"千葉県","南端","34°53′58″W","139°53′13″W",34.8994444444444,139.886944444444
"千葉県","北端","36°06′14″″W","139°47′12″″W",36.1038888888889,139.786666666667
"東京都","都道府県庁","35°41′22″W","139°41′30″W",35.6894444444444,139.691666666667
"東京都","東端","24°16′59″W","153°59′12″W",24.2830555555556,153.986666666667
"東京都","西端","20°25′31″W","136°04′11″W",20.4252777777778,136.069722222222
"東京都","南端","20°25′31″W","136°04′11″W",20.4252777777778,136.069722222222
"東京都","北端","35°53′54″″W","139°01′06″″W",35.8983333333333,139.018333333333
"神奈川県","都道府県庁","35°26′52″W","139°38′33″W",35.4477777777778,139.6425
"神奈川県","東端","35°31′07″W","139°47′46″W",35.5186111111111,139.796111111111
"神奈川県","西端","35°24′17″W","138°54′57″W",35.4047222222222,138.915833333333
"神奈川県","南端","35°07′44″W","139°37′44″W",35.1288888888889,139.628888888889
"神奈川県","北端","35°40′22″″W","139°08′01″″W",35.6727777777778,139.133611111111
"山梨県","都道府県庁","35°39′50″W","138°34′06″W",35.6638888888889,138.568333333333
"山梨県","東端","35°37′00″W","139°08′04″W",35.6166666666667,139.134444444444
"山梨県","西端","35°42′52″W","138°10′49″W",35.7144444444444,138.180277777778
"山梨県","南端","35°10′06″W","138°29′28″W",35.1683333333333,138.491111111111
"山梨県","北端","35°58′18″″W","138°22′23″″W",35.9716666666667,138.373055555556
"長野県","都道府県庁","36°39′05″W","138°10′52″W",36.6513888888889,138.181111111111
"長野県","東端","35°55′58″W","138°44′22″W",35.9327777777778,138.739444444444
"長野県","西端","35°48′43″W","137°19′29″W",35.8119444444444,137.324722222222
"長野県","南端","35°11′55″W","137°34′43″W",35.1986111111111,137.578611111111
"長野県","北端","37°01′49″″W","138°31′25″″W",37.0302777777778,138.523611111111
"新潟県","都道府県庁","37°54′08″W","139°01′25″W",37.9022222222222,139.023611111111
"新潟県","東端","38°16′33″W","139°54′00″W",38.2758333333333,139.9
"新潟県","西端","36°58′49″W","137°38′06″W",36.9802777777778,137.635
"新潟県","南端","36°44′11″W","138°42′19″W",36.7363888888889,138.705277777778
"新潟県","北端","38°33′12″″W","139°32′58″″W",38.5533333333333,139.549444444444
"富山県","都道府県庁","36°41′43″W","137°12′41″W",36.6952777777778,137.211388888889
"富山県","東端","36°46′06″W","137°45′48″W",36.7683333333333,137.763333333333
"富山県","西端","36°25′25″W","136°46′06″W",36.4236111111111,136.768333333333
"富山県","南端","36°16′28″W","136°58′31″W",36.2744444444444,136.975277777778
"富山県","北端","36°58′49″″W","137°38′06″″W",36.9802777777778,137.635
"石川県","都道府県庁","36°35′40″W","136°37′32″W",36.5944444444444,136.625555555556
"石川県","東端","37°30′33″W","137°21′55″W",37.5091666666667,137.365277777778
"石川県","西端","36°17′49″W","136°14′35″W",36.2969444444444,136.243055555556
"石川県","南端","36°04′01″W","136°40′26″W",36.0669444444444,136.673888888889
"石川県","北端","37°51′19″″W","136°55′19″″W",37.8552777777778,136.921944444444
"福井県","都道府県庁","36°03′55″W","136°13′19″W",36.0652777777778,136.221944444444
"福井県","東端","35°51′33″W","136°49′56″W",35.8591666666667,136.832222222222
"福井県","西端","35°31′33″W","135°26′58″W",35.5258333333333,135.449444444444
"福井県","南端","35°20′36″W","135°42′03″W",35.3433333333333,135.700833333333
"福井県","北端","36°17′48″″W","136°14′33″″W",36.2966666666667,136.2425
"岐阜県","都道府県庁","35°23′28″W","136°43′20″W",35.3911111111111,136.722222222222
"岐阜県","東端","36°18′17″W","137°39′11″W",36.3047222222222,137.653055555556
"岐阜県","西端","35°39′11″W","136°16′35″W",35.6530555555556,136.276388888889
"岐阜県","南端","35°08′02″W","136°40′10″W",35.1338888888889,136.669444444444
"岐阜県","北端","36°27′54″″W","137°16′44″″W",36.465,137.278888888889
"静岡県","都道府県庁","34°58′37″W","138°22′59″W",34.9769444444444,138.383055555556
"静岡県","東端","35°02′22″W","139°10′36″W",35.0394444444444,139.176666666667
"静岡県","西端","34°45′00″W","137°28′27″W",34.75,137.474166666667
"静岡県","南端","34°34′25″W","138°56′36″W",34.5736111111111,138.943333333333
"静岡県","北端","35°38′45″″W","138°13′42″″W",35.6458333333333,138.228333333333
"愛知県","都道府県庁","35°10′49″W","136°54′24″W",35.1802777777778,136.906666666667
"愛知県","東端","35°12′45″W","137°50′17″W",35.2125,137.838055555556
"愛知県","西端","35°08′31″W","136°40′15″W",35.1419444444444,136.670833333333
"愛知県","南端","34°34′41″W","137°02′11″W",34.5780555555556,137.036388888889
"愛知県","北端","35°25′30″″W","136°59′24″″W",35.425,136.99
"三重県","都道府県庁","34°43′49″W","136°30′31″W",34.7302777777778,136.508611111111
"三重県","東端","34°32′53″W","136°59′15″W",34.5480555555556,136.9875
"三重県","西端","33°51′33″W","135°51′12″W",33.8591666666667,135.853333333333
"三重県","南端","33°43′22″W","135°58′29″W",33.7227777777778,135.974722222222
"三重県","北端","35°15′28″″W","136°31′42″″W",35.2577777777778,136.528333333333
"滋賀県","都道府県庁","35°00′16″W","135°52′06″W",35.0044444444444,135.868333333333
"滋賀県","東端","35°09′10″W","136°27′19″W",35.1527777777778,136.455277777778
"滋賀県","西端","35°20′43″W","135°45′50″W",35.3452777777778,135.763888888889
"滋賀県","南端","34°47′27″W","136°01′37″W",34.7908333333333,136.026944444444
"滋賀県","北端","35°42′13″″W","136°10′29″″W",35.7036111111111,136.174722222222
"京都府","都道府県庁","35°01′17″W","135°45′20″W",35.0213888888889,135.755555555556
"京都府","東端","34°44′19″W","136°03′20″W",34.7386111111111,136.055555555556
"京都府","西端","35°35′19″W","134°51′13″W",35.5886111111111,134.853611111111
"京都府","南端","34°42′21″W","135°51′04″W",34.7058333333333,135.851111111111
"京都府","北端","35°46′45″″W","135°13′25″″W",35.7791666666667,135.223611111111
"大阪府","都道府県庁","34°41′11″W","135°31′12″W",34.6863888888889,135.52
"大阪府","東端","34°48′06″W","135°44′48″W",34.8016666666667,135.746666666667
"大阪府","西端","34°18′52″W","135°05′31″W",34.3144444444444,135.091944444444
"大阪府","南端","34°16′19″W","135°06′41″W",34.2719444444444,135.111388888889
"大阪府","北端","35°03′05″″W","135°21′06″″W",35.0513888888889,135.351666666667
"兵庫県","都道府県庁","34°41′29″W","135°10′59″W",34.6913888888889,135.183055555556
"兵庫県","東端","34°55′32″W","135°28′07″W",34.9255555555556,135.468611111111
"兵庫県","西端","34°51′07″W","134°15′09″W",34.8519444444444,134.2525
"兵庫県","南端","34°09′21″W","134°48′59″W",34.1558333333333,134.816388888889
"兵庫県","北端","35°40′29″″W","134°45′53″″W",35.6747222222222,134.764722222222
"奈良県","都道府県庁","34°41′07″W","135°49′58″W",34.6852777777778,135.832777777778
"奈良県","東端","34°29′35″W","136°13′48″W",34.4930555555556,136.23
